date,vol
2018/12/07,123
2018/12/08,242
2018/12/09,75
2018/12/10,159
2018/12/11,142
2018/12/12,77
2018/12/13,86
2018/12/14,218
2018/12/15,68
2018/12/16,98
2018/12/17,150
2018/12/18,132
2018/12/19,90
2018/12/20,134
2018/12/21,98
2018/12/22,103
2018/12/23,91
2018/12/24,69
2018/12/25,66
2018/12/26,42
2018/12/27,65
2018/12/28,87
2018/12/29,108
2018/12/30,126
2018/12/31,69
2019/01/01,66
2019/01/02,167
2019/01/03,291
2019/01/04,124
2019/01/05,54
2019/01/06,66
2019/01/07,86
2019/01/08,74
2019/01/09,132
2019/01/10,191
2019/01/11,253
2019/01/12,83
2019/01/13,82
2019/01/14,155
2019/01/15,71
2019/01/16,57
2019/01/17,75
2019/01/18,91
2019/01/19,56
2019/01/20,41
2019/01/21,75
2019/01/22,163
2019/01/23,156
2019/01/24,82
2019/01/25,34
2019/01/26,58
2019/01/27,55
2019/01/28,85
2019/01/29,95
2019/01/30,113
2019/01/31,41
2019/02/01,49
2019/02/02,49
2019/02/03,24
2019/02/04,69
2019/02/05,101
2019/02/06,41
2019/02/07,51
2019/02/08,119
2019/02/09,71
2019/02/10,54
2019/02/11,16
2019/02/12,87
2019/02/13,63
2019/02/14,57
2019/02/15,41
2019/02/16,126
2019/02/17,95
2019/02/18,138
2019/02/19,148
2019/02/20,170
2019/02/21,110
2019/02/22,212
2019/02/23,54
2019/02/24,46
2019/02/25,103
2019/02/26,61
2019/02/27,90
2019/02/28,141
2019/03/01,154
2019/03/02,190
2019/03/03,142
2019/03/04,172
2019/03/05,134
2019/03/06,116
2019/03/07,151
2019/03/08,77
2019/03/09,68
2019/03/10,60
2019/03/11,79
2019/03/12,205
2019/03/13,138
2019/03/14,119
2019/03/15,112
2019/03/16,69
2019/03/17,55
2019/03/18,73
2019/03/19,71
2019/03/20,130
2019/03/21,201
2019/03/22,126
2019/03/23,110
2019/03/24,183
2019/03/25,122
2019/03/26,142
2019/03/27,83
2019/03/28,82
2019/03/29,234
2019/03/30,120
2019/03/31,95
2019/04/01,154
2019/04/02,167
2019/04/03,281
2019/04/04,123
2019/04/05,112
2019/04/06,135
2019/04/07,163
2019/04/08,320
2019/04/09,276
2019/04/10,187
2019/04/11,167
2019/04/12,170
2019/04/13,86
2019/04/14,149
2019/04/15,159
2019/04/16,161
2019/04/17,234
2019/04/18,530
2019/04/19,310
2019/04/20,190
2019/04/21,178
2019/04/22,177
2019/04/23,132
2019/04/24,209
2019/04/25,254
2019/04/26,91
2019/04/27,211
2019/04/28,165
2019/04/29,117
2019/04/30,440
2019/05/01,347
2019/05/02,211
2019/05/03,308
2019/05/04,245
2019/05/05,193
2019/05/06,311
2019/05/07,291
2019/05/08,125
2019/05/09,197
2019/05/10,202
2019/05/11,273
2019/05/12,102
2019/05/13,132
2019/05/14,206
2019/05/15,201
2019/05/16,292
2019/05/17,183
2019/05/18,310
2019/05/19,167
2019/05/20,157
2019/05/21,159
2019/05/22,172
2019/05/23,145
2019/05/24,164
2019/05/25,117
2019/05/26,105
2019/05/27,184
2019/05/28,289
2019/05/29,181
2019/05/30,210
2019/05/31,136
2019/06/01,62
2019/06/02,140
2019/06/03,130
2019/06/04,257
2019/06/05,337
2019/06/06,301
2019/06/07,138
2019/06/08,201
2019/06/09,124
2019/06/10,142
2019/06/11,124
2019/06/12,133
2019/06/13,248
2019/06/14,251
2019/06/15,249
2019/06/16,202
2019/06/17,340
2019/06/18,189
2019/06/19,274
2019/06/20,220
2019/06/21,222
2019/06/22,200
2019/06/23,309
2019/06/24,216
2019/06/25,1987
2019/06/26,554
2019/06/27,406
2019/06/28,617
2019/06/29,271
2019/06/30,476
2019/07/01,336
2019/07/02,369
2019/07/03,237
2019/07/04,512
2019/07/05,300
2019/07/06,179
2019/07/07,93
2019/07/08,140
2019/07/09,200
2019/07/10,112
2019/07/11,100
2019/07/12,108
2019/07/13,123
2019/07/14,87
2019/07/15,85
2019/07/16,276
2019/07/17,330
2019/07/18,232
2019/07/19,139
2019/07/20,185
2019/07/21,251
2019/07/22,337
2019/07/23,222
2019/07/24,204
2019/07/25,117
2019/07/26,141
2019/07/27,131
2019/07/28,35
2019/07/29,91
2019/07/30,42
2019/07/31,231
2019/08/01,180
2019/08/02,141
2019/08/03,91
2019/08/04,69
2019/08/05,54
2019/08/06,207
2019/08/07,377
2019/08/08,192
2019/08/09,254
2019/08/10,116
2019/08/11,261
2019/08/12,200
2019/08/13,253
2019/08/14,164
2019/08/15,204
2019/08/16,122
2019/08/17,101
2019/08/18,76
2019/08/19,127
2019/08/20,187
2019/08/21,244
2019/08/22,185
2019/08/23,162
2019/08/24,110
2019/08/25,188
2019/08/26,261
2019/08/27,141
2019/08/28,112
2019/08/29,86
2019/08/30,120
2019/08/31,79
2019/09/01,73
2019/09/02,247
2019/09/03,209
2019/09/04,158
2019/09/05,134
2019/09/06,125
2019/09/07,109
2019/09/08,88
2019/09/09,97
2019/09/10,153
2019/09/11,106
2019/09/12,108
2019/09/13,131
2019/09/14,107
2019/09/15,159
2019/09/16,379
2019/09/17,377
2019/09/18,278
2019/09/19,240
2019/09/20,221
2019/09/21,118
2019/09/22,140
2019/09/23,163
2019/09/24,274
2019/09/25,188
2019/09/26,137
2019/09/27,150
2019/09/28,159
2019/09/29,143
2019/09/30,169
2019/10/01,113
2019/10/02,54
